team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
India,lost,4 wicke,7,won,1st,New Zealand,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,won, 7 wicke,,,,Australia,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,7 wicke,84,lost,1st,West Indies,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,won,192 run,,lost,1st,Sri Lanka,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Sri Lanka,lost, 192 run,,,,Pakistan,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,won,4 wicke,188,,,England,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,4 wicke,188,,,Australia,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,won, 17 run,,,,Australia,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,17 run,,won,2nd,West Indies,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,won,5 wicke,67,won,2nd,West Indies,Adelaide,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,lost, 5 wicke,,,,Australia,Adelaide,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New Zealand,won, 9 wicke,,,,India,Christchurch,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
India,lost,9 wicke,37,won,1st,New Zealand,Christchurch,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New Zealand,won, 80 run,,,,India,Auckland,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
India,lost,80 run,,lost,2nd,New Zealand,Auckland,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,won, 6 wicke,,,,England,Scarborough,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,6 wicke,84,lost,1st,West Indies,Scarborough,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,won, 36 run,,,,England,Lord's,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,36 run,,won,2nd,West Indies,Lord's,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,won, 50 run,,,,England,Birmingham,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,50 run,,won,2nd,West Indies,Birmingham,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New Zealand,won, 1 run,,,,Pakistan,Sialkot,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,1 run,,lost,2nd,New Zealand,Sialkot,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,won, 4 wicke,,,,Pakistan,Albion,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,4 wicke,10,lost,1st,West Indies,Albion,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,2 wicke,58,,,Australia,Manchester,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,2 wicke,58,,,England,Manchester,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,101 run,,lost,1st,Australia,Birmingham,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,101 run,,won,2nd,England,Birmingham,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
