team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
Pakistan,lost,6 wickets,17,17,lost,England,Sialkot,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,won,36 runs,,lost,1st,England,Lahore,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,36 runs,,won,2nd,Pakistan,Lahore,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,won 44,runs,lost,1st,Australia St,John's,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,44 runs,won,2nd,v,Indies St,John's,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,won,2 wickets,0,lost,2nd,West Indies,Castries,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,lost 2,wickets,0,won,v Australia,Castries,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,132 runs,,won,1st,Pakistan,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,132 runs,,lost,2nd,England,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,94 runs,lost,lost,1st,The,Oval,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,lost,94 runs,won,won,2nd,The,Oval,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,19 runs,lost,lost,1st,Zealand,Scarborough,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
