team,result,margin,br,toss,bat,opposition,ground,date
Australia,1.0,9 wicke,40.0,1.0,2.0,India,Sydney,1980
India,0.0,9 wicke,40.0,1.0,2.0,Australia,Sydney,1980
West Indies,1.0, 7 run,2.0,1.0,2.0,Pakistan,Lahore,1980
Pakistan,0.0,7 run,2.0,1.0,2.0,West Indies,Lahore,1980
New Zealand,1.0, 3 wicke,2.0,1.0,1.0,India,Brisbane,1980
India,0.0,3 wicke,2.0,1.0,1.0,New Zealand,Brisbane,1980
India,1.0,6 run,174.0,1.0,1.0,New Zealand,Adelaide,1980
New Zealand,0.0, 6 run,174.0,0.0,1.0,India,Adelaide,1980
Australia,1.0,9 wicke,174.0,0.0,1.0,India,Sydney,1981
India,0.0,9 wicke,174.0,0.0,1.0,Australia,Sydney,1981
New Zealand,1.0, 10 wicke,30.0,0.0,1.0,India,Melbourne,1981
India,0.0,10 wicke,30.0,0.0,1.0,New Zealand,Melbourne,1981
Australia,1.0,7 wicke,16.0,0.0,2.0,India,Melbourne,1981
India,0.0,7 wicke,16.0,0.0,2.0,Australia,Melbourne,1981
New Zealand,1.0, 1 run,63.0,0.0,2.0,Australia,Sydney,1981
Australia,0.0,1 run,63.0,0.0,2.0,New Zealand,Sydney,1981
Australia,1.0,27 run,63.0,0.0,1.0,India,Sydney,1981
India,0.0,27 run,63.0,1.0,2.0,Australia,Sydney,1981
New Zealand,1.0, 22 run,63.0,1.0,2.0,India,Brisbane,1981
India,0.0,22 run,63.0,1.0,2.0,New Zealand,Brisbane,1981
Australia,1.0, 78 run,63.0,0.0,2.0,New Zealand,Sydney,1981
New Zealand,1.0, 78 run,63.0,0.0,2.0,Australia,Sydney,1981
New Zealand,1.0, 78 run,63.0,1.0,2.0,Australia,Sydney,1981
Australia,0.0,78 run,63.0,1.0,2.0,New Zealand,Sydney,1981
Australia,1.0,7 wicke,63.0,1.0,2.0,New Zealand,Melbourne,1981
New Zealand,0.0, 7 wicke,14.0,1.0,1.0,Australia,Melbourne,1981
Australia,1.0,6 run,14.0,1.0,1.0,New Zealand,Melbourne,1981
New Zealand,0.0, 6 run,14.0,0.0,2.0,Australia,Melbourne,1981
Australia,1.0,6 wicke,14.0,0.0,2.0,New Zealand,Sydney,1981
New Zealand,0.0, 6 wicke,63.0,1.0,2.0,Australia,Sydney,1981
West Indies,1.0, 2 run,63.0,1.0,2.0,England,Kingstown,1981
England,0.0,2 run,63.0,1.0,2.0,West Indies,Kingstown,1981
New Zealand,1.0, 78 run,63.0,1.0,2.0,India,Auckland,1981
India,0.0,78 run,63.0,1.0,2.0,New Zealand,Auckland,1981
New Zealand,1.0, 57 run,63.0,1.0,2.0,India,Hamilton,1981
India,0.0,57 run,63.0,1.0,2.0,New Zealand,Hamilton,1981
West Indies,1.0, 6 wicke,63.0,0.0,1.0,England,Albion,1981
England,0.0,6 wicke,63.0,0.0,1.0,West Indies,Albion,1981
England,1.0,6 wicke,20.0,0.0,1.0,Australia,Lord's,1981
Australia,0.0,6 wicke,20.0,0.0,1.0,England,Lord's,1981
Australia,1.0,2 run,4.0,0.0,1.0,England,Birmingham,1981
England,0.0,2 run,4.0,1.0,2.0,Australia,Birmingham,1981
Australia,1.0,71 run,4.0,0.0,1.0,England,Leeds,1981
England,0.0,71 run,4.0,1.0,2.0,Australia,Leeds,1981
West Indies,1.0, 18 run,4.0,1.0,2.0,Pakistan,Melbourne,1981
Pakistan,0.0,18 run,4.0,1.0,2.0,West Indies,Melbourne,1981
Pakistan,1.0,4 wicke,4.0,0.0,2.0,Australia,Melbourne,1981
Australia,0.0,4 wicke,4.0,0.0,2.0,Pakistan,Melbourne,1981
Australia,1.0,7 wicke,12.0,0.0,2.0,West Indies,Sydney,1981
West Indies,0.0, 7 wicke,13.0,0.0,1.0,Australia,Sydney,1981
England,1.0,5 wicke,13.0,0.0,1.0,India,Ahmedabad,1981
India,0.0,5 wicke,13.0,0.0,1.0,England,Ahmedabad,1981
Pakistan,1.0,8 run,40.0,0.0,1.0,West Indies,Adelaide,1981
West Indies,0.0, 8 run,40.0,1.0,1.0,Pakistan,Adelaide,1981
Australia,1.0,38 run,40.0,1.0,1.0,Pakistan,Adelaide,1981
Pakistan,0.0,38 run,40.0,0.0,2.0,Australia,Adelaide,1981
Pakistan,1.0,6 wicke,40.0,1.0,1.0,Australia,Sydney,1981
Australia,0.0,6 wicke,40.0,1.0,1.0,Pakistan,Sydney,1981
West Indies,1.0, 7 wicke,46.0,1.0,1.0,Pakistan,Perth,1981
Pakistan,0.0,7 wicke,46.0,1.0,1.0,West Indies,Perth,1981
West Indies,1.0, 8 wicke,120.0,0.0,1.0,Australia,Perth,1981
Australia,0.0,8 wicke,120.0,0.0,1.0,West Indies,Perth,1981
India,1.0,6 wicke,3.0,0.0,1.0,England,Jalandhar,1981
England,0.0,6 wicke,3.0,0.0,1.0,India,Jalandhar,1981
Pakistan,1.0,25 run,17.0,0.0,1.0,Australia,Melbourne,1982
Australia,0.0,25 run,17.0,1.0,2.0,Pakistan,Melbourne,1982
West Indies,1.0, 5 wicke,17.0,1.0,1.0,Australia,Melbourne,1982
Australia,0.0,5 wicke,17.0,1.0,1.0,West Indies,Melbourne,1982
West Indies,1.0, 7 wicke,47.0,1.0,1.0,Pakistan,Sydney,1982
Pakistan,0.0,7 wicke,47.0,1.0,1.0,West Indies,Sydney,1982
Australia,1.0,76 run,7.0,0.0,1.0,Pakistan,Sydney,1982
Pakistan,0.0,76 run,7.0,1.0,2.0,Australia,Sydney,1982
West Indies,1.0, 1 wicke,7.0,0.0,1.0,Pakistan,Brisbane,1982
Pakistan,0.0,1 wicke,7.0,0.0,1.0,West Indies,Brisbane,1982
West Indies,1.0, 5 wicke,8.0,0.0,1.0,Australia,Brisbane,1982
Australia,0.0,5 wicke,8.0,0.0,1.0,West Indies,Brisbane,1982
Australia,1.0,5 run,24.0,1.0,2.0,West Indies,Sydney,1982
West Indies,0.0, 5 run,24.0,1.0,2.0,Australia,Sydney,1982
West Indies,1.0, 86 run,24.0,1.0,2.0,Australia,Melbourne,1982
Australia,0.0,86 run,24.0,1.0,2.0,West Indies,Melbourne,1982
West Indies,1.0, 128 run,24.0,0.0,2.0,Australia,Melbourne,1982
Australia,0.0,128 run,24.0,0.0,2.0,West Indies,Melbourne,1982
Australia,1.0,46 run,24.0,0.0,1.0,West Indies,Sydney,1982
West Indies,0.0, 46 run,24.0,0.0,2.0,Australia,Sydney,1982
West Indies,1.0, 18 run,24.0,0.0,2.0,Australia,Sydney,1982
Australia,0.0,18 run,24.0,0.0,2.0,West Indies,Sydney,1982
India,1.0,5 wicke,24.0,1.0,2.0,England,Cuttack,1982
England,0.0,5 wicke,24.0,1.0,2.0,India,Cuttack,1982
New Zealand,1.0, 46 run,24.0,1.0,2.0,Australia,Auckland,1982
Australia,0.0,46 run,24.0,1.0,2.0,New Zealand,Auckland,1982
England,1.0,5 run,24.0,1.0,2.0,Sri Lanka,Colombo,1982
Sri Lanka,0.0, 5 run,24.0,1.0,2.0,England,Colombo,1982
Sri Lanka,1.0, 3 run,24.0,0.0,1.0,England,Colombo,1982
England,0.0,3 run,24.0,1.0,2.0,Sri Lanka,Colombo,1982
Australia,1.0,6 wicke,24.0,1.0,2.0,New Zealand,Dunedin,1982
New Zealand,0.0, 6 wicke,177.0,1.0,2.0,Australia,Dunedin,1982
Australia,1.0,8 wicke,177.0,1.0,2.0,New Zealand,Wellington,1982
New Zealand,0.0, 8 wicke,22.0,1.0,2.0,Australia,Wellington,1982
Pakistan,1.0,8 wicke,22.0,1.0,2.0,Sri Lanka,Karachi,1982
