team,result,margin,br,toss,bat,opposition,ground,date
India,0.0,3 wicke,4.0,1.0,1.0,Pakistan,Birmingham,2004
England,1.0,6 wicke,21.0,1.0,1.0,Australia,Birmingham,2004
Australia,0.0,6 wicke,21.0,1.0,1.0,England,Birmingham,2004
West Indies,1.0, 7 wicke,131.0,1.0,1.0,Pakistan,Southampton,2004
Pakistan,0.0,7 wicke,131.0,1.0,1.0,West Indies,Southampton,2004
West Indies,1.0, 2 wicke,7.0,0.0,1.0,England,Oval,2004
England,0.0,2 wicke,7.0,0.0,1.0,West Indies,Oval,2004
Pakistan,1.0,144 run,11.0,1.0,1.0,Zimbabwe,Multan,2004
Zimbabwe,0.0,144 run,11.0,0.0,2.0,Pakistan,Multan,2004
Pakistan,1.0,3 wicke,11.0,0.0,2.0,Zimbabwe,Peshawar,2004
Zimbabwe,0.0,3 wicke,11.0,0.0,2.0,Pakistan,Peshawar,2004
Pakistan,1.0,8 wicke,8.0,0.0,2.0,Sri Lanka,Karachi,2004
Sri Lanka,0.0, 8 wicke,191.0,0.0,1.0,Pakistan,Karachi,2004
Sri Lanka,1.0, 7 wicke,191.0,0.0,1.0,Zimbabwe,Rawalpindi,2004
Zimbabwe,0.0,7 wicke,191.0,0.0,1.0,Sri Lanka,Rawalpindi,2004
Sri Lanka,1.0,6 wicke,7.0,1.0,2.0,Zimbabwe,Rawalpindi,2004
Zimbabwe,1.0,6 wicke,7.0,1.0,2.0,Sri Lanka,Rawalpindi,2004
Pakistan,1.0,6 wicke,7.0,1.0,2.0,Sri Lanka,Lahore,2004
Sri Lanka,0.0, 6 wicke,32.0,1.0,2.0,Pakistan,Lahore,2004
Sri Lanka,1.0, 119 run,32.0,1.0,2.0,Pakistan,Lahore,2004
Pakistan,0.0,119 run,32.0,1.0,2.0,Sri Lanka,Lahore,2004
New Zealand,1.0, 138 run,32.0,0.0,2.0,Bangladesh,Chattogram,2004
Bangladesh,0.0,138 run,32.0,0.0,2.0,New Zealand,Chattogram,2004
New Zealand,1.0, 3 wicke,32.0,1.0,1.0,Bangladesh,Dhaka,2004
Bangladesh,0.0,3 wicke,32.0,1.0,1.0,New Zealand,Dhaka,2004
New Zealand,1.0, 83 run,6.0,0.0,2.0,Bangladesh,Dhaka,2004
Bangladesh,0.0,83 run,6.0,0.0,2.0,New Zealand,Dhaka,2004
Pakistan,1.0,6 wicke,6.0,1.0,1.0,India,Kolkata,2004
India,0.0,6 wicke,6.0,1.0,1.0,Pakistan,Kolkata,2004
England,1.0,5 wicke,14.0,1.0,1.0,Zimbabwe,Harare,2004
Zimbabwe,0.0,5 wicke,14.0,1.0,1.0,England,Harare,2004
England,1.0,161 run,41.0,1.0,1.0,Zimbabwe,Harare,2004
Zimbabwe,0.0,161 run,41.0,0.0,2.0,England,Harare,2004
England,1.0,8 wicke,41.0,0.0,1.0,Zimbabwe,Bulawayo,2004
Zimbabwe,0.0,8 wicke,41.0,0.0,1.0,England,Bulawayo,2004
New Zealand,1.0, 4 wicke,2.0,0.0,1.0,Australia,Melbourne,2004
Australia,0.0,4 wicke,2.0,0.0,1.0,New Zealand,Melbourne,2004
England,1.0,74 run,12.0,1.0,1.0,Zimbabwe,Bulawayo,2004
Zimbabwe,0.0,74 run,12.0,0.0,2.0,England,Bulawayo,2004
Australia,1.0,17 run,12.0,1.0,1.0,New Zealand,Sydney,2004
New Zealand,0.0, 17 run,12.0,0.0,1.0,Australia,Sydney,2004
Australia,1.0,11 run,12.0,0.0,1.0,New Zealand,Brisbane,2004
New Zealand,1.0,11 run,12.0,0.0,1.0,Australia,Brisbane,2004
India,1.0,11 run,12.0,0.0,1.0,Bangladesh,Chattogram,2004
Bangladesh,0.0,11 run,12.0,1.0,2.0,India,Chattogram,2004
New Zealand,1.0, 7 wicke,12.0,1.0,1.0,Sri Lanka,Auckland,2004
Sri Lanka,0.0, 7 wicke,12.0,1.0,1.0,New Zealand,Auckland,2004
Bangladesh,1.0,15 run,12.0,1.0,1.0,India,Dhaka,2004
India,0.0,15 run,12.0,0.0,2.0,Bangladesh,Dhaka,2004
India,1.0,91 run,12.0,1.0,1.0,Bangladesh,Dhaka,2004
Bangladesh,0.0,91 run,12.0,0.0,2.0,India,Dhaka,2004
New Zealand,1.0,116 run,12.0,1.0,1.0,Sri Lanka,Napier,2004
Sri Lanka,1.0,116 run,12.0,1.0,1.0,New Zealand,Napier,2004
New Zealand,1.0,116 run,12.0,1.0,1.0,Sri Lanka,Queenstown,2005
Sri Lanka,1.0,116 run,12.0,1.0,1.0,New Zealand,Queenstown,2005
New Zealand,1.0,116 run,12.0,1.0,1.0,Sri Lanka,Christchurch,2005
Sri Lanka,1.0,116 run,12.0,1.0,1.0,New Zealand,Christchurch,2005
New Zealand,1.0,116 run,12.0,1.0,1.0,Sri Lanka,Wellington,2005
Sri Lanka,1.0,116 run,12.0,1.0,1.0,New Zealand,Wellington,2005
Australia,1.0,116 run,12.0,1.0,1.0,West Indies,Melbourne,2005
West Indies,0.0, 116 run,12.0,1.0,2.0,Australia,Melbourne,2005
Australia,1.0,4 wicke,12.0,1.0,2.0,Pakistan,Hobart,2005
Pakistan,0.0,4 wicke,12.0,1.0,2.0,Australia,Hobart,2005
Pakistan,1.0,6 wicke,18.0,1.0,2.0,West Indies,Brisbane,2005
West Indies,0.0, 6 wicke,82.0,1.0,1.0,Pakistan,Brisbane,2005
Zimbabwe,1.0,22 run,82.0,1.0,1.0,Bangladesh,Dhaka,2005
Bangladesh,0.0,22 run,82.0,0.0,2.0,Zimbabwe,Dhaka,2005
Australia,1.0,9 wicke,82.0,1.0,1.0,West Indies,Brisbane,2005
West Indies,1.0,9 wicke,82.0,1.0,1.0,Australia,Brisbane,2005
Australia,1.0,9 wicke,82.0,1.0,1.0,Pakistan,Sydney,2005
Pakistan,0.0,9 wicke,82.0,1.0,1.0,Australia,Sydney,2005
Zimbabwe,1.0,31 run,16.0,1.0,1.0,Bangladesh,Chattogram,2005
Bangladesh,0.0,31 run,16.0,0.0,2.0,Zimbabwe,Chattogram,2005
Bangladesh,1.0,40 run,16.0,1.0,1.0,Zimbabwe,Chattogram,2005
Zimbabwe,0.0,40 run,16.0,0.0,2.0,Bangladesh,Chattogram,2005
Australia,1.0,73 run,16.0,1.0,1.0,West Indies,Adelaide,2005
West Indies,0.0, 73 run,16.0,1.0,2.0,Australia,Adelaide,2005
West Indies,1.0, 58 run,16.0,1.0,2.0,Pakistan,Adelaide,2005
Pakistan,0.0,58 run,16.0,1.0,2.0,West Indies,Adelaide,2005
Bangladesh,1.0,58 run,16.0,1.0,1.0,Zimbabwe,Dhaka,2005
Zimbabwe,0.0,58 run,16.0,0.0,2.0,Bangladesh,Dhaka,2005
Pakistan,1.0,3 wicke,16.0,1.0,2.0,Australia,Perth,2005
Australia,0.0,3 wicke,16.0,1.0,2.0,Pakistan,Perth,2005
England,1.0,26 run,102.0,1.0,2.0,East Africa,Johannesburg,2005
South Africa,0.0, 26 run,102.0,0.0,1.0,England,Johannesburg,2005
Bangladesh,1.0,8 wicke,102.0,0.0,1.0,Zimbabwe,Dhaka,2005
Zimbabwe,0.0,8 wicke,102.0,0.0,1.0,Bangladesh,Dhaka,2005
Pakistan,1.0,30 run,5.0,0.0,1.0,West Indies,Perth,2005
West Indies,0.0, 30 run,5.0,1.0,2.0,Pakistan,Perth,2005
England,1.0,18 run,5.0,1.0,2.0,East Africa,Bloemfontein,2005
South Africa,1.0,18 run,5.0,1.0,2.0,England,Bloemfontein,2005
Australia,1.0,18 run,5.0,1.0,1.0,Pakistan,Melbourne,2005
Pakistan,0.0,18 run,5.0,0.0,2.0,Australia,Melbourne,2005
South Africa,1.0, 3 wicke,5.0,1.0,1.0,England,Elizabeth,2005
England,0.0,3 wicke,5.0,1.0,1.0,East Africa,Elizabeth,2005
Australia,1.0,31 run,6.0,1.0,1.0,Pakistan,Sydney,2005
Pakistan,0.0,31 run,6.0,0.0,2.0,Australia,Sydney,2005
South Africa,1.0, 108 run,6.0,0.0,1.0,England,Town,2005
England,0.0,108 run,6.0,1.0,1.0,East Africa,Town,2005
South Africa,1.0, 7 run,6.0,1.0,1.0,England,London,2005
England,0.0,7 run,6.0,1.0,1.0,East Africa,London,2005
England,1.0, 3 wicke,6.0,1.0,1.0,East Africa,Durban,2005
South Africa,1.0, 3 wicke,6.0,1.0,1.0,England,Durban,2005
South Africa,1.0, 3 wicke,6.0,0.0,1.0,England,Centurion,2005
England,0.0,3 wicke,6.0,0.0,1.0,East Africa,Centurion,2005
Australia,1.0,10 run,94.0,1.0,1.0,New Zealand,Wellington,2005
New Zealand,0.0, 10 run,94.0,0.0,1.0,Australia,Wellington,2005
Australia,1.0,106 run,94.0,0.0,1.0,New Zealand,Christchurch,2005
New Zealand,0.0, 106 run,94.0,1.0,2.0,Australia,Christchurch,2005
South Africa,1.0, 165 run,94.0,1.0,2.0,Zimbabwe,Johannesburg,2005
Zimbabwe,0.0,165 run,94.0,1.0,2.0,East Africa,Johannesburg,2005
Australia,1.0,86 run,94.0,1.0,1.0,New Zealand,Auckland,2005
New Zealand,0.0, 86 run,94.0,1.0,2.0,Australia,Auckland,2005
South Africa,1.0, 131 run,94.0,1.0,2.0,Zimbabwe,Durban,2005
Zimbabwe,0.0,131 run,94.0,1.0,2.0,East Africa,Durban,2005
Australia,1.0,7 wicke,94.0,1.0,2.0,New Zealand,Wellington,2005
New Zealand,0.0, 7 wicke,21.0,1.0,1.0,Australia,Wellington,2005
South Africa,1.0, 5 wicke,21.0,1.0,1.0,Zimbabwe,Elizabeth,2005
Zimbabwe,0.0,5 wicke,21.0,1.0,1.0,East Africa,Elizabeth,2005
Australia,1.0,122 run,0.0,0.0,1.0,New Zealand,Napier,2005
New Zealand,0.0, 122 run,0.0,1.0,1.0,Australia,Napier,2005
India,1.0,87 run,0.0,1.0,1.0,Pakistan,Kochi,2005
Pakistan,0.0,87 run,0.0,0.0,2.0,India,Kochi,2005
India,1.0,58 run,0.0,1.0,1.0,Pakistan,Visakhapatnam,2005
Pakistan,0.0,58 run,0.0,0.0,2.0,India,Visakhapatnam,2005
Pakistan,1.0,106 run,0.0,1.0,1.0,India,Jamshedpur,2005
India,0.0,106 run,0.0,0.0,2.0,Pakistan,Jamshedpur,2005
Pakistan,1.0,3 wicke,0.0,1.0,1.0,India,Ahmedabad,2005
India,0.0,3 wicke,0.0,1.0,1.0,Pakistan,Ahmedabad,2005
Pakistan,1.0,5 wicke,47.0,1.0,1.0,India,Kanpur,2005
India,0.0,5 wicke,47.0,1.0,1.0,Pakistan,Kanpur,2005
Pakistan,1.0,159 run,151.0,1.0,1.0,India,Delhi,2005
India,0.0,159 run,151.0,0.0,2.0,Pakistan,Delhi,2005
South Africa,1.0, 8 wicke,151.0,0.0,1.0,West Indies,Kingston,2005
West Indies,0.0, 8 wicke,151.0,0.0,1.0,South Africa,Kingston,2005
South Africa,1.0, 8 wicke,151.0,0.0,1.0,West Indies,Kingston,2005
West Indies,0.0, 8 wicke,151.0,0.0,1.0,South Africa,Kingston,2005
South Africa,1.0, 1 run,151.0,0.0,1.0,West Indies,Bridgetown,2005
West Indies,0.0, 1 run,151.0,1.0,2.0,East Africa,Bridgetown,2005
Pakistan,1.0,59 run,151.0,0.0,1.0,West Indies,Kingstown,2005
West Indies,0.0, 59 run,151.0,0.0,2.0,Pakistan,Kingstown,2005
Pakistan,1.0,40 run,151.0,0.0,2.0,West Indies,Islet,2005
West Indies,0.0, 40 run,151.0,0.0,2.0,Pakistan,Islet,2005
Pakistan,1.0,22 run,151.0,1.0,2.0,West Indies,Islet,2005
West Indies,0.0, 22 run,151.0,1.0,2.0,Pakistan,Islet,2005
England,1.0,10 wicke,151.0,1.0,2.0,Bangladesh,Oval,2005
Bangladesh,0.0,10 wicke,151.0,0.0,1.0,England,Oval,2005
Bangladesh,1.0,5 wicke,4.0,1.0,1.0,Australia,Cardiff,2005
Australia,0.0,5 wicke,4.0,1.0,1.0,Bangladesh,Cardiff,2005
England,1.0,3 wicke,15.0,1.0,1.0,Australia,Bristol,2005
Australia,0.0,3 wicke,15.0,1.0,1.0,England,Bristol,2005
England,1.0,168 run,186.0,1.0,1.0,Bangladesh,Nottingham,2005
Bangladesh,0.0,168 run,186.0,0.0,2.0,England,Nottingham,2005
Australia,1.0,57 run,186.0,0.0,1.0,England,Chester-le-Street,2005
England,0.0,57 run,186.0,1.0,2.0,Australia,Chester-le-Street,2005
Australia,1.0,10 wicke,186.0,1.0,2.0,Bangladesh,Manchester,2005
Bangladesh,0.0,10 wicke,186.0,1.0,2.0,Australia,Manchester,2005
England,1.0,5 wicke,67.0,1.0,2.0,Bangladesh,Leeds,2005
Bangladesh,0.0,5 wicke,67.0,1.0,2.0,England,Leeds,2005
Australia,1.0,6 wicke,11.0,1.0,2.0,Bangladesh,Canterbury,2005
Bangladesh,0.0,6 wicke,11.0,1.0,2.0,Australia,Canterbury,2005
England,1.0,9 wicke,24.0,1.0,2.0,Australia,Leeds,2005
Australia,0.0,9 wicke,24.0,1.0,2.0,England,Leeds,2005
Australia,1.0,7 wicke,34.0,1.0,2.0,England,Lord's,2005
England,0.0,7 wicke,34.0,1.0,2.0,Australia,Lord's,2005
Australia,1.0,8 wicke,91.0,1.0,2.0,England,Oval,2005
England,0.0,8 wicke,91.0,0.0,1.0,Australia,Oval,2005
Sri Lanka,1.0, 3 wicke,10.0,1.0,1.0,India,Dambulla,2005
India,0.0,3 wicke,10.0,1.0,1.0,Sri Lanka,Dambulla,2005
India,1.0,6 wicke,84.0,0.0,2.0,West Indies,Dambulla,2005
West Indies,0.0, 6 wicke,12.0,1.0,1.0,India,Dambulla,2005
Sri Lanka,1.0, 50 run,12.0,1.0,1.0,West Indies,Dambulla,2005
West Indies,0.0, 50 run,12.0,0.0,2.0,Sri Lanka,Dambulla,2005
Sri Lanka,1.0, 4 wicke,12.0,1.0,1.0,India,Dambulla,2005
India,0.0,4 wicke,12.0,1.0,1.0,Sri Lanka,Dambulla,2005
West Indies,1.0, 33 run,15.0,1.0,1.0,Sri Lanka,Colombo,2005
Sri Lanka,0.0, 33 run,15.0,0.0,2.0,West Indies,Colombo,2005
India,1.0,7 run,15.0,0.0,2.0,West Indies,Colombo,2005
West Indies,0.0, 7 run,15.0,0.0,2.0,India,Colombo,2005
Sri Lanka,1.0, 18 run,15.0,1.0,1.0,India,Colombo,2005
India,0.0,18 run,15.0,1.0,2.0,Sri Lanka,Colombo,2005
New Zealand,1.0, 192 run,15.0,1.0,2.0,Zimbabwe,Bulawayo,2005
Zimbabwe,0.0,192 run,15.0,1.0,2.0,New Zealand,Bulawayo,2005
New Zealand,1.0, 51 run,15.0,0.0,2.0,India,Bulawayo,2005
India,0.0,51 run,15.0,0.0,2.0,New Zealand,Bulawayo,2005
India,1.0,161 run,15.0,0.0,1.0,Zimbabwe,Harare,2005
Zimbabwe,0.0,161 run,15.0,1.0,2.0,India,Harare,2005
Sri Lanka,1.0, 88 run,15.0,0.0,1.0,Bangladesh,Colombo,2005
Bangladesh,0.0,88 run,15.0,0.0,2.0,Sri Lanka,Colombo,2005
New Zealand,1.0, 27 run,15.0,0.0,2.0,Zimbabwe,Harare,2005
Zimbabwe,0.0,27 run,15.0,0.0,2.0,New Zealand,Harare,2005
Sri Lanka,1.0, 75 run,15.0,0.0,1.0,Bangladesh,Colombo,2005
Bangladesh,0.0,75 run,15.0,0.0,2.0,Sri Lanka,Colombo,2005
India,1.0,6 wicke,15.0,0.0,2.0,New Zealand,Harare,2005
New Zealand,0.0, 6 wicke,148.0,0.0,1.0,India,Harare,2005
Sri Lanka,1.0, 6 wicke,148.0,0.0,1.0,Bangladesh,Colombo,2005
Bangladesh,0.0,6 wicke,148.0,0.0,1.0,Sri Lanka,Colombo,2005
India,1.0,4 wicke,11.0,1.0,1.0,Zimbabwe,Harare,2005
Zimbabwe,0.0,4 wicke,11.0,1.0,1.0,India,Harare,2005
New Zealand,1.0, 6 wicke,11.0,1.0,1.0,India,Harare,2005
India,0.0,6 wicke,11.0,1.0,1.0,New Zealand,Harare,2005
South Africa,1.0, 2 wicke,178.0,1.0,1.0,New Zealand,Bloemfontein,2005
New Zealand,0.0, 2 wicke,178.0,1.0,1.0,South Africa,Bloemfontein,2005
India,1.0,152 run,178.0,1.0,1.0,Sri Lanka,Nagpur,2005
Sri Lanka,0.0, 152 run,178.0,1.0,2.0,India,Nagpur,2005
India,1.0,8 wicke,178.0,1.0,2.0,Sri Lanka,Mohali,2005
Sri Lanka,0.0, 8 wicke,23.0,1.0,1.0,India,Mohali,2005
South Africa,1.0, 19 run,23.0,1.0,1.0,New Zealand,Town,2005
New Zealand,0.0, 19 run,23.0,0.0,2.0,East Africa,Town,2005
India,1.0,6 wicke,23.0,0.0,2.0,Sri Lanka,Jaipur,2005
Sri Lanka,0.0, 6 wicke,26.0,1.0,2.0,India,Jaipur,2005
India,1.0,4 wicke,26.0,1.0,2.0,Sri Lanka,Pune,2005
Sri Lanka,0.0, 4 wicke,14.0,0.0,2.0,India,Pune,2005
New Zealand,1.0, 5 wicke,14.0,0.0,2.0,East Africa,Durban,2005
South Africa,1.0, 5 wicke,14.0,1.0,1.0,New Zealand,Durban,2005
South Africa,1.0, 5 wicke,14.0,0.0,1.0,New Zealand,Centurion,2005
New Zealand,0.0, 5 wicke,14.0,0.0,1.0,South Africa,Centurion,2005
Sri Lanka,1.0, 5 wicke,14.0,0.0,1.0,India,Ahmedabad,2005
India,0.0,5 wicke,14.0,0.0,1.0,Sri Lanka,Ahmedabad,2005
India,1.0,7 wicke,91.0,1.0,2.0,Sri Lanka,Rajkot,2005
Sri Lanka,0.0, 7 wicke,63.0,0.0,2.0,India,Rajkot,2005
India,1.0,5 wicke,63.0,0.0,2.0,Sri Lanka,Vadodara,2005
Sri Lanka,0.0, 5 wicke,7.0,0.0,1.0,India,Vadodara,2005
South Africa,1.0, 5 wicke,7.0,0.0,1.0,India,Hydrabad,2005
India,0.0,5 wicke,7.0,0.0,1.0,East Africa,Hydrabad,2005
India,1.0,6 wicke,86.0,1.0,2.0,East Africa,Bengaluru,2005
South Africa,0.0, 6 wicke,85.0,0.0,1.0,India,Bengaluru,2005
India,1.0, 10 wicke,85.0,0.0,1.0,East Africa,Chennai,2005
South Africa,1.0, 10 wicke,85.0,0.0,1.0,India,Chennai,2005
South Africa,1.0, 10 wicke,85.0,0.0,1.0,India,Kolkata,2005
India,0.0,10 wicke,85.0,0.0,1.0,East Africa,Kolkata,2005
India,1.0,5 wicke,15.0,1.0,2.0,East Africa,Mumbai,2005
South Africa,0.0, 5 wicke,6.0,0.0,1.0,India,Mumbai,2005
Australia,1.0,147 run,6.0,0.0,1.0,New Zealand,Auckland,2005
New Zealand,0.0, 147 run,6.0,1.0,1.0,Australia,Auckland,2005
Australia,1.0,2 run,6.0,1.0,1.0,New Zealand,Wellington,2005
New Zealand,0.0, 2 run,6.0,0.0,1.0,Australia,Wellington,2005
New Zealand,1.0, 2 wicke,6.0,0.0,1.0,Australia,Christchurch,2005
Australia,0.0,2 wicke,6.0,0.0,1.0,New Zealand,Christchurch,2005
England,1.0,42 run,36.0,1.0,1.0,Pakistan,Lahore,2005
Pakistan,0.0,42 run,36.0,0.0,2.0,England,Lahore,2005
Pakistan,1.0,7 wicke,36.0,0.0,1.0,England,Lahore,2005
England,0.0,7 wicke,36.0,0.0,1.0,Pakistan,Lahore,2005
Pakistan,1.0,165 run,7.0,0.0,1.0,England,Karachi,2005
England,0.0,165 run,7.0,1.0,2.0,Pakistan,Karachi,2005
Pakistan,1.0,13 run,7.0,1.0,1.0,England,Rawalpindi,2005
England,0.0,13 run,7.0,0.0,2.0,Pakistan,Rawalpindi,2005
England,1.0,6 run,7.0,1.0,1.0,Pakistan,Rawalpindi,2005
Pakistan,0.0,6 run,7.0,0.0,2.0,England,Rawalpindi,2005
New Zealand,1.0, 7 wicke,7.0,1.0,1.0,Sri Lanka,Queenstown,2005
Sri Lanka,0.0, 7 wicke,7.0,1.0,1.0,New Zealand,Queenstown,2005
New Zealand,1.0, 5 wicke,7.0,1.0,1.0,Sri Lanka,Christchurch,2006
Sri Lanka,0.0, 5 wicke,7.0,1.0,1.0,New Zealand,Christchurch,2006
New Zealand,1.0, 21 run,7.0,1.0,1.0,Sri Lanka,Wellington,2006
Sri Lanka,0.0, 21 run,7.0,0.0,2.0,New Zealand,Wellington,2006
Sri Lanka,1.0, 20 run,7.0,1.0,1.0,New Zealand,Napier,2006
New Zealand,0.0, 20 run,7.0,0.0,2.0,Sri Lanka,Napier,2006
Australia,1.0,116 run,7.0,1.0,2.0,Sri Lanka,Melbourne,2006
Sri Lanka,0.0, 116 run,7.0,1.0,2.0,Australia,Melbourne,2006
South Africa,1.0, 5 wicke,7.0,1.0,1.0,Australia,Brisbane,2006
Australia,0.0,5 wicke,7.0,1.0,1.0,East Africa,Brisbane,2006
Sri Lanka,1.0, 94 run,9.0,0.0,1.0,East Africa,Brisbane,2006
South Africa,0.0, 94 run,9.0,1.0,2.0,Sri Lanka,Brisbane,2006
Australia,1.0,59 run,9.0,0.0,2.0,East Africa,Melbourne,2006
South Africa,0.0, 59 run,9.0,0.0,2.0,Australia,Melbourne,2006
Sri Lanka,1.0, 51 run,9.0,0.0,2.0,Australia,Sydney,2006
Australia,0.0,51 run,9.0,0.0,2.0,Sri Lanka,Sydney,2006
South Africa,1.0, 9 run,9.0,1.0,1.0,Sri Lanka,Adelaide,2006
Sri Lanka,0.0, 9 run,9.0,0.0,2.0,East Africa,Adelaide,2006
Australia,1.0,5 wicke,9.0,0.0,2.0,Sri Lanka,Adelaide,2006
Sri Lanka,0.0, 5 wicke,54.0,0.0,2.0,Australia,Adelaide,2006
Australia,1.0,6 wicke,54.0,0.0,2.0,Sri Lanka,Perth,2006
Sri Lanka,0.0, 6 wicke,41.0,0.0,2.0,Australia,Perth,2006
South Africa,1.0, 5 wicke,41.0,0.0,2.0,Sri Lanka,Perth,2006
Sri Lanka,0.0, 5 wicke,41.0,0.0,2.0,South Africa,Perth,2006
Australia,1.0,80 run,41.0,0.0,2.0,East Africa,Melbourne,2006
South Africa,0.0, 80 run,41.0,0.0,2.0,Australia,Melbourne,2006
Australia,1.0,57 run,41.0,1.0,1.0,East Africa,Sydney,2006
South Africa,0.0, 57 run,41.0,1.0,2.0,Australia,Sydney,2006
Pakistan,1.0,7 run,41.0,1.0,2.0,India,Peshawar,2006
India,0.0,7 run,41.0,0.0,1.0,Pakistan,Peshawar,2006
Sri Lanka,1.0, 76 run,41.0,1.0,1.0,East Africa,Hobart,2006
South Africa,0.0, 76 run,41.0,0.0,2.0,Sri Lanka,Hobart,2006
Sri Lanka,1.0, 22 run,41.0,0.0,2.0,Australia,Adelaide,2006
Australia,0.0,22 run,41.0,0.0,2.0,Sri Lanka,Adelaide,2006
India,1.0,7 wicke,41.0,1.0,1.0,Pakistan,Rawalpindi,2006
Pakistan,0.0,7 wicke,41.0,1.0,1.0,India,Rawalpindi,2006
Australia,1.0,167 run,14.0,1.0,1.0,Sri Lanka,Sydney,2006
Sri Lanka,0.0, 167 run,14.0,0.0,2.0,Australia,Sydney,2006
India,1.0,5 wicke,14.0,0.0,2.0,Pakistan,Lahore,2006
Pakistan,0.0,5 wicke,14.0,0.0,2.0,India,Lahore,2006
Australia,1.0,9 wicke,27.0,0.0,2.0,Sri Lanka,Brisbane,2006
Sri Lanka,0.0, 9 wicke,105.0,1.0,1.0,Australia,Brisbane,2006
India,1.0,5 wicke,105.0,1.0,1.0,Pakistan,Multan,2006
Pakistan,0.0,5 wicke,105.0,1.0,1.0,India,Multan,2006
New Zealand,1.0, 81 run,19.0,1.0,1.0,West Indies,Wellington,2006
West Indies,0.0, 81 run,19.0,0.0,2.0,New Zealand,Wellington,2006
India,1.0,8 wicke,19.0,1.0,1.0,Pakistan,Karachi,2006
Pakistan,0.0,8 wicke,19.0,1.0,1.0,India,Karachi,2006
Sri Lanka,1.0, 5 wicke,155.0,1.0,1.0,Bangladesh,Bogra,2006
Bangladesh,0.0,5 wicke,155.0,1.0,1.0,Sri Lanka,Bogra,2006
New Zealand,1.0, 3 wicke,12.0,1.0,2.0,West Indies,Queenstown,2006
West Indies,0.0, 3 wicke,12.0,1.0,2.0,New Zealand,Queenstown,2006
Bangladesh,1.0,4 wicke,12.0,1.0,2.0,Sri Lanka,Bogra,2006
Sri Lanka,0.0, 4 wicke,39.0,1.0,1.0,Bangladesh,Bogra,2006
New Zealand,1.0, 21 run,39.0,1.0,1.0,West Indies,Christchurch,2006
West Indies,0.0, 21 run,39.0,0.0,2.0,New Zealand,Christchurch,2006
Sri Lanka,1.0, 78 run,39.0,1.0,2.0,Bangladesh,Chattogram,2006
Bangladesh,0.0,78 run,39.0,1.0,2.0,Sri Lanka,Chattogram,2006
Zimbabwe,1.0,8 wicke,39.0,0.0,1.0,Kenya,Bulawayo,2006
Kenya,0.0,8 wicke,39.0,0.0,1.0,Zimbabwe,Bulawayo,2006
Kenya,1.0,79 run,21.0,0.0,1.0,Zimbabwe,Bulawayo,2006
Zimbabwe,0.0,79 run,21.0,1.0,2.0,Kenya,Bulawayo,2006
South Africa,1.0, 6 wicke,21.0,1.0,1.0,Australia,Centurion,2006
Australia,0.0,6 wicke,21.0,1.0,1.0,East Africa,Centurion,2006
New Zealand,1.0, 91 run,5.0,0.0,1.0,West Indies,Napier,2006
West Indies,0.0, 91 run,5.0,1.0,2.0,New Zealand,Napier,2006
Kenya,1.0,65 run,5.0,1.0,1.0,Zimbabwe,Harare,2006
Zimbabwe,0.0,65 run,5.0,0.0,2.0,Kenya,Harare,2006
Zimbabwe,1.0,109 run,5.0,1.0,1.0,Kenya,Harare,2006
Kenya,0.0,109 run,5.0,0.0,2.0,Zimbabwe,Harare,2006
South Africa,1.0, 196 run,5.0,1.0,1.0,Australia,Town,2006
Australia,0.0,196 run,5.0,1.0,2.0,East Africa,Town,2006
West Indies,1.0, 3 wicke,5.0,1.0,2.0,New Zealand,Auckland,2006
New Zealand,0.0, 3 wicke,5.0,1.0,2.0,West Indies,Auckland,2006
Australia,1.0,24 run,5.0,1.0,2.0,East Africa,Elizabeth,2006
South Africa,0.0, 24 run,5.0,1.0,2.0,Australia,Elizabeth,2006
Australia,1.0,1 wicke,5.0,0.0,2.0,East Africa,Durban,2006
South Africa,0.0, 1 wicke,1.0,1.0,1.0,Australia,Durban,2006
South Africa,1.0, 1 wicke,1.0,1.0,1.0,Australia,Johannesburg,2006
Australia,0.0,1 wicke,1.0,1.0,1.0,East Africa,Johannesburg,2006
Bangladesh,1.0,131 run,32.0,1.0,1.0,Kenya,Bogra,2006
Kenya,0.0,131 run,32.0,0.0,2.0,Bangladesh,Bogra,2006
Pakistan,1.0,4 wicke,32.0,1.0,2.0,Sri Lanka,Colombo,2006
Sri Lanka,0.0, 4 wicke,157.0,1.0,2.0,Pakistan,Colombo,2006
Bangladesh,1.0,9 wicke,157.0,1.0,2.0,Kenya,Khulna,2006
Kenya,0.0,9 wicke,157.0,1.0,2.0,Bangladesh,Khulna,2006
Pakistan,1.0,4 wicke,28.0,1.0,2.0,Sri Lanka,Colombo,2006
Sri Lanka,0.0, 4 wicke,51.0,1.0,1.0,Pakistan,Colombo,2006
Bangladesh,1.0,20 run,51.0,1.0,1.0,Kenya,Fatullah,2006
Kenya,0.0,20 run,51.0,0.0,2.0,Bangladesh,Fatullah,2006
Bangladesh,1.0,7 wicke,51.0,0.0,1.0,Kenya,Fatullah,2006
Kenya,0.0,7 wicke,51.0,0.0,1.0,Bangladesh,Fatullah,2006
India,1.0,39 run,6.0,0.0,1.0,England,Delhi,2006
England,0.0,39 run,6.0,1.0,2.0,India,Delhi,2006
